fold,target,mae,rmse,r2,pearson,spearman
1,target_attention,0.09460610151290894,0.12433548965876802,0.1642438769340515,0.41092389822006226,0.4180297379996326
1,target_engagement,0.09306519478559494,0.1170148332423613,0.12506908178329468,0.3635072708129883,0.3365834822014366
1,target_excitement,0.1421489119529724,0.18925828845079412,0.23205256462097168,0.4830929636955261,0.4129180460229619
1,target_stress,0.09943608194589615,0.14701156481393596,0.10322999954223633,0.3504585921764374,0.3376167029282053
1,target_relaxation,0.11260224133729935,0.14660901806659948,0.15780937671661377,0.44407784938812256,0.43886943354759816
1,target_interest,0.06823540478944778,0.09653026902443464,0.16311681270599365,0.4286925792694092,0.35823459165660343
1,target_focus,0.09365272521972656,0.11739543904010095,0.04497784376144409,0.2694077491760254,0.2070292566149077
2,target_attention,0.08498996496200562,0.10853621172910895,0.1582741141319275,0.40333667397499084,0.41105871041437586
2,target_engagement,0.08937127143144608,0.12095350173193732,0.10174620151519775,0.35460200905799866,0.3025710135895799
2,target_excitement,0.13727781176567078,0.1812356618438744,0.2838338613510132,0.5333318710327148,0.5013927023452469
2,target_stress,0.0695151835680008,0.10537396251177909,0.1762911081314087,0.44829991459846497,0.3502397635114906
2,target_relaxation,0.12217043340206146,0.152497476875429,0.18055081367492676,0.43938368558883667,0.39956535362290213
2,target_interest,0.053440194576978683,0.07724472567941908,0.2012397050857544,0.4528980255126953,0.3378399226261359
2,target_focus,0.08595798909664154,0.1125480751128255,0.09486162662506104,0.3239889442920685,0.2986260343580513
3,target_attention,0.104377880692482,0.13263923899896737,0.06749081611633301,0.3590766489505768,0.37577398478701535
3,target_engagement,0.0814683586359024,0.10548543798029444,0.18936651945114136,0.4659387767314911,0.3656778107570779
3,target_excitement,0.14286570250988007,0.18117477812750155,0.4375532865524292,0.6648213863372803,0.6409499958339175
3,target_stress,0.10027521848678589,0.13855353531037098,0.11729031801223755,0.425862193107605,0.3863120865705299
3,target_relaxation,0.12507818639278412,0.15244212397834686,0.20783507823944092,0.49292850494384766,0.4516648505021413
3,target_interest,0.06876836717128754,0.08978740853618704,0.2049952745437622,0.4776917099952698,0.33895802321172935
3,target_focus,0.08722180128097534,0.11290185799860616,0.16044831275939941,0.41543346643447876,0.4019457088504732
4,target_attention,0.09505608677864075,0.13194160465341095,-0.1288621425628662,0.24232900142669678,0.28090366995576316
4,target_engagement,0.11025726795196533,0.2269446996809065,-1.7078895568847656,0.24463164806365967,0.4232986181266808
4,target_excitement,0.16138103604316711,0.20857737473351418,0.1351795792579651,0.4192824363708496,0.435208760219172
4,target_stress,0.09000886976718903,0.15961095392769115,-0.54741370677948,0.15564166009426117,0.356953127348942
4,target_relaxation,0.13910017907619476,0.34059881319650126,-3.0480122566223145,0.24067436158657074,0.45868288138745394
4,target_interest,0.07849088311195374,0.2171949563701862,-4.992206573486328,0.21397832036018372,0.20168030860360558
4,target_focus,0.10192781686782837,0.1794635787264001,-1.1345717906951904,0.22546984255313873,0.30182595719300626
5,target_attention,0.09416665881872177,0.1200694012373702,-0.02132284641265869,0.2235468178987503,0.1899677248255879
5,target_engagement,0.10099109262228012,0.1273440284959989,0.15480566024780273,0.4224477708339691,0.3338026027227763
5,target_excitement,0.14931891858577728,0.19701875214413503,0.24506700038909912,0.4973256587982178,0.4760223724426283
5,target_stress,0.10262374579906464,0.14084843263529287,0.12375503778457642,0.35906174778938293,0.3477426656155639
5,target_relaxation,0.1216215193271637,0.15747945598554355,0.07374352216720581,0.35943788290023804,0.4069720053887068
5,target_interest,0.06525168567895889,0.09019626518628596,0.11132824420928955,0.3766457438468933,0.2819911422805157
5,target_focus,0.10196875780820847,0.13313240204188131,0.03193938732147217,0.24506299197673798,0.24131854194166502
